c0,c1,cluster,user_id
1.5645976,0.010561179,5,0
-0.9715031,-2.3041544,16,1
-1.0349115,-2.302436,16,2
1.036026,-0.2683456,23,3
-1.6834381,0.6581264,18,4
-1.2401597,-2.4294868,16,5
0.4232858,1.5546789,7,6
-1.4405297,-1.4248462,16,7
-0.9417849,-2.2965038,16,8
0.22030094,1.9347609,7,9
-1.5176721,0.47650293,18,10
-2.0630164,1.2187445,18,11
0.31473836,-1.9343023,12,12
1.717189,-0.6274727,5,13
-1.0921996,-3.0889025,22,14
1.9466908,-0.5857825,11,15
0.024760678,-2.339182,12,16
-0.15761138,2.2220435,10,17
0.5712185,-0.21849555,23,18
0.3663253,-1.9382277,12,19
-0.83648455,2.2579517,20,20
-1.1978977,-2.4039521,16,21
-0.15206915,-1.4463743,12,22
1.7815568,-0.009659188,5,23
0.33382538,-1.9623061,12,24
-0.93914074,2.5072381,20,25
1.1971533,-0.7612926,5,26
-0.18964785,2.0675242,10,27
0.3421043,-1.9354115,12,28
0.7776103,0.1925996,23,29
1.9428835,-0.60475326,11,30
-0.9446468,-2.2932515,16,31
-1.2546707,-0.3264922,18,32
1.3028123,-0.29711992,5,33
1.7925445,-0.7111575,11,34
-0.969117,-2.3056395,16,35
0.44804215,-0.2929953,23,36
-0.7821983,-0.7786164,16,37
-0.9432673,-2.3553934,16,38
-1.6705227,0.114023775,18,39
-1.6820738,0.65356606,18,40
0.38510704,-2.036692,12,41
-1.1765623,3.186059,20,42
-2.0790644,1.219088,18,43
-0.9551189,-2.3796475,16,44
-0.16072896,-1.4094702,12,45
-0.8523232,1.8760693,20,46
-0.16758573,-1.4470934,12,47
-1.1672354,-2.5247977,16,48
-2.1560202,1.0452763,18,49
0.2668879,1.5474291,7,50
-1.0914971,-3.0895245,22,51
-0.9386905,2.20087,20,52
1.0041159,-0.16397995,23,53
-1.2732179,-1.5843166,16,54
-1.1763387,-2.4593344,16,55
-0.95602405,-2.3760934,16,56
1.6133099,-0.094448105,5,57
0.7492116,0.14689687,23,58
-1.1085435,-3.2044609,22,59
-2.1974914,0.69162625,18,60
-0.13771042,-1.4076258,12,61
0.29815304,-1.9700866,12,62
-1.5634731,0.08448608,18,63
-0.006951675,-2.0184035,12,64
1.4045694,-0.6617273,5,65
1.8435181,-0.09391445,5,66
0.1957857,-2.8725986,0,67
-2.2373965,1.2516435,24,68
2.0637758,-0.62351936,11,69
0.1952273,-2.869836,0,70
2.1362433,-0.9810031,17,71
0.37009835,1.1877981,7,72
2.0871859,-0.5190633,11,73
0.006639302,-2.3358262,12,74
2.3549354,-0.90704787,13,75
-1.2575859,-1.3588548,16,76
-0.06565925,1.2564839,7,77
-2.0281959,1.562646,24,78
-1.2935723,-2.492015,16,79
-1.6357865,0.5390763,18,80
-1.2953652,3.2334282,20,81
-1.2243099,-2.4445543,16,82
-0.18255948,-1.3443546,12,83
0.24157795,0.11907837,23,84
0.31550008,-1.8722346,12,85
-1.3994434,-0.124857366,18,86
0.07923099,1.6403022,7,87
0.21282458,-2.9524872,0,88
-1.2073727,-2.4682736,16,89
1.129589,-0.47375306,5,90
-1.2811306,-1.5775265,16,91
-1.447381,-1.4279665,16,92
0.030734561,1.4584769,7,93
1.7536747,-0.71284646,11,94
0.01232072,-2.2677488,12,95
-1.0756174,-3.1583376,22,96
-1.8262452,0.44303885,18,97
1.775158,-0.71512675,11,98
0.17751238,0.10547386,23,99
0.355058,-1.9926032,12,100
2.2813666,-0.8489389,13,101
-1.2082132,-2.4654193,16,102
-1.1756742,-2.46804,16,103
-0.6577852,1.4674548,10,104
-2.2364204,1.2581892,24,105
-2.1529968,0.6417832,18,106
-0.9506941,-2.3837163,16,107
-1.3328594,-1.4304211,16,108
0.9781929,-0.56214577,23,109
0.34501982,-1.984541,12,110
-1.2223055,-2.3937404,16,111
-0.97032756,2.3492541,20,112
0.07223406,1.6416986,7,113
-1.2929461,-1.5054675,16,114
-1.0918151,-3.0885355,22,115
1.0720497,-0.5068086,23,116
-1.2565546,-2.4018848,16,117
0.76627856,0.10224964,23,118
-1.1149386,2.9769526,20,119
0.07852771,1.640931,7,120
-1.5282342,-0.26336274,18,121
-1.3100553,3.1079352,20,122
-1.1179484,-3.199495,22,123
-1.1989025,-2.4662504,16,124
-1.0942383,-3.1051366,22,125
-1.1236258,-3.1267087,22,126
1.7052801,-0.6378804,5,127
0.18866664,-2.8639736,0,128
-1.1985033,-2.473267,16,129
-1.2756809,2.946335,20,130
-1.3091002,-2.48472,16,131
1.816384,-0.008092169,5,132
0.1519092,0.22051762,23,133
1.6351751,-0.15801257,5,134
-1.1976315,-2.4035642,16,135
0.35451093,-1.9480114,12,136
-1.2434531,-2.3820584,16,137
0.42573503,1.5548186,7,138
1.5772877,-0.14467217,5,139
0.34317845,-1.9400216,12,140
-0.17796344,-1.3572786,12,141
-1.33355,-1.4271894,16,142
-2.229419,0.71582973,18,143
0.024218567,-2.2179766,12,144
2.0875187,-1.0268981,11,145
-1.626768,0.07636386,18,146
-0.9562035,-2.3128667,16,147
0.9911885,-0.5428337,23,148
-1.1553509,-3.083577,22,149
0.007450789,2.2333324,10,150
-1.112446,-3.2427306,22,151
-1.7100397,0.8720794,18,152
-1.3385403,-1.410384,16,153
-1.1761464,-2.47325,16,154
2.0755215,-0.61997277,11,155
-0.1324333,-1.454568,12,156
0.9908532,-0.53872454,23,157
-0.1882349,2.1828806,10,158
-1.684662,0.4653822,18,159
-1.1762788,3.184156,20,160
0.6425409,-0.2694129,23,161
1.9495411,-0.60340494,11,162
0.956475,-0.40944523,23,163
-1.1877526,-2.4839342,16,164
-0.147032,-1.4900607,12,165
-2.233738,1.2415887,24,166
-1.1596909,-2.3579736,16,167
-1.188187,-2.4774342,16,168
-1.1874411,-2.4901524,16,169
-0.80280316,2.0538478,20,170
0.75930566,0.07689468,23,171
-1.0935172,-3.1070933,22,172
-1.2730231,-1.5872782,16,173
-2.057523,1.2338121,18,174
0.323367,-1.8709834,12,175
2.3555257,-0.90627,13,176
-1.2878145,-1.5713389,16,177
1.3484633,-0.18263946,5,178
-0.18088526,-1.3982655,12,179
-1.204704,3.1358106,20,180
0.16176555,-2.77271,12,181
